SPEC_ID,PROTECTED = P,UPDATED = U,GENUS,SPECIES,COUNTRY,LOCALITY,COLLECTION PLACE,DATE COLLECTED,SEX,BONE,SIDE,AGE,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,,,
USNM399046,P,U,Equus,caballus,1,0,Baltimore Zoo,19-Jul-1950,unknown,calc,left,recent,155.6,100.1,31.2,48.1,70.1,74.4,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM399046,P,U,Equus,caballus,1,0,Baltimore Zoo,19-Jul-1950,unknown,mciii,left,recent,273.6,263.1,53.0,38.1,72.1,44.5,56.0,22.8,,68.0,70.1,53.5,41.5,42.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM399046,P,U,Equus,caballus,1,0,Baltimore Zoo,19-Jul-1950,unknown,mtiii,left,recent,326.8,314.9,48.9,43.9,72.0,63.6,66.4,18.5,,72.0,68.5,52.3,39.1,42.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM399046,P,U,Equus,caballus,1,0,Baltimore Zoo,19-Jul-1950,unknown,p1ph3,left,recent,104.9,96.8,51.7,78.6,53.7,64.0,58.6,34.6,55.7,71.1,80.2,24.0,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USNM399046,P,U,Equus,caballus,1,0,Baltimore Zoo,19-Jul-1950,unknown,p2ph3,left,recent,63.7,45.5,62.9,76.0,47.6,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMNH82036,P,U,Equus,grevyi,19,,,,male,a1ph3,left,recent,82.8,75.2,30.1,51.5,37.0,42.9,38.5,24.4,38.2,60.4,61.6,16.2,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMNH82036,P,U,Equus,grevyi,19,,,,male,a1ph3,right,recent,82.4,75.5,30.4,51.7,37.5,42.7,38.8,25.1,39.1,62.3,61.9,14.8,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMNH82036,P,U,Equus,grevyi,19,,,,male,a2ph3,left,recent,48.4,36.2,40.0,48.4,33.0,41.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMNH82036,P,U,Equus,grevyi,19,,,,male,a2ph3,right,recent,47.4,35.1,42.2,49.8,33.2,44.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMNH82036,P,U,Equus,grevyi,19,,,,male,ast,left,recent,64.4,67.0,28.2,62.0,51.7,36.0,55.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMNH82036,P,U,Equus,grevyi,19,,,,male,ast,right,recent,64.0,66.0,29.4,61.5,50.7,37.0,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMNH82036,P,U,Equus,grevyi,19,,,,male,calc,left,recent,114.3,76.2,20.8,34.2,49.4,54.1,51.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMNH82036,P,U,Equus,grevyi,19,,,,male,calc,right,recent,114.0,76.0,20.7,34.9,49.0,55.7,52.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
