Specimen.Number,Proxy.Specimen.Number,Annual.Specimen.Number,YOC.Specimen.Number,dec.lat,dec.long,max.error,datum,elevation.ft,c.diastema.1.mm,c.diastema.2.mm,c.toothrow.1.mm,c.toothrow.2.mm,ear.length.mm,hind.foot.length.mm,tail.length.mm,total.length.mm,body.mass.g,annual.station.id,annual.station.distance.km,calveg,ann.precip.cm,ann.precip.in,avg.temp.c,avg.temp.f,yoc.station.id,yoc.station.distance,calveg,fall.max.c,fall.min.c,fall.precip.in,spr.max.c,spr.min.c,spr.precip.in,sum.max.c,sum.min.c,sum.precip.in,win.max.c,win.min.c,win.precip.in
MVZ 15147,MVZ 15147,,,35.830658,-118.29175,0.03,NAD27,7000,8.43,,11.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 15149,MVZ 15149,,,35.830658,-118.29175,0.03,NAD27,7000,9.27,,11.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 15155,MVZ 15155,,,36.477786,-118.142063,0.03,NAD27,10000,7.17,,11.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 152136,,MVZ 152136,,39.3213902,-120.845374,0.13518,NAD27,,7.89,,11.34,,24,53,148,391,,44713,28.6601739,MHW,187.9092,73.98,8.888888889,48,,,,,,,,,,,,,,,
MVZ 1560,MVZ 1560,,,33.925,-116.638,1,NAD27,1130,8.41,,11.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 159815,MVZ 159815,,,39.3213902,-120.845374,0.13518,NAD27,4300,8.94,,11.18,,29,50,167,410,320,,,,,,,,,,,,,,,,,,,,,,
MVZ 159816,MVZ 159816,,,39.3213902,-120.845374,0.13518,NAD27,4300,8.01,,12.03,,25,50,153,405,380,,,,,,,,,,,,,,,,,,,,,,
MVZ 160572,MVZ 160572,MVZ 160572,MVZ 160572,38.052271,-121.00416,0.193,NAD27,125,9.38,,11.57,,31,57,202,470,615,45032,25.5121447,UAG,46.2788,18.22,15.83333333,60.5,45032,25.5121447,UAG,75.11667,45.05333,1.2466667,73.85667,44.68333,1.5866667,89.22333,53.61333,0.09,56.37333,37.55,3.15
MVZ 1760,MVZ 1760,,,33.8042231,-116.659361,1.3716,NAD27,9000,7.86,,11.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 17755,MVZ 17755,,,36.5782,-118.1069,1,NAD27,4500,7.54,,11.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 17756,MVZ 17756,,,36.813217,-118.319139,0.03,NAD27,7500,8.38,,11.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 17831,MVZ 17831,MVZ 17831,MVZ 17831,40.0451166,-122.095649,3.249,NAD27,260,10.19,,11.01,,,,,,,46506,33.9496663,UAG,55.4482,21.83,16.72222222,62.1,46506,33.9496663,UAG,76.16,48.29,1.4466667,71.22333,46.11,1.87,94.85667,58.89667,0.21,57.54,38.71,3.75
MVZ 17832,MVZ 17832,,,40.0451166,-122.095649,3.249,NAD27,260,9,,11.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 17833,MVZ 17833,,,40.0451166,-122.095649,3.249,NAD27,260,9.23,,11.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 17834,MVZ 17834,,,40.0451166,-122.095649,3.249,NAD27,260,9.42,,11.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 17835,MVZ 17835,MVZ 17835,MVZ 17835,39.58918,-122.54394,7.01996,NAD27,700,8.76,,11.47,,22,55,163,380,,49699,22.4504987,BOW,48.3362,19.03,16,60.8,49699,22.4504987,BOW,74.97333,46.19833,1.25,70.98667,41.24,1.57,92.86667,55.02833,0.14666667,57.44333,35.65333,3.3766667
MVZ 17836,MVZ 17836,,,39.58918,-122.54394,7.01996,NAD27,700,9.53,,11.28,,21,58,198,453,,,,,,,,,,,,,,,,,,,,,,,
MVZ 17838,MVZ 17838,,,39.58918,-122.54394,7.01996,NAD27,700,9.95,,11.01,,22,58,202,480,,,,,,,,,,,,,,,,,,,,,,,
MVZ 17839,MVZ 17839,,,38.8863534,-122.240262,0.624,NAD27,500,9.65,,11.79,,25,58,203,465,,,,,,,,,,,,,,,,,,,,,,,
MVZ 17840,MVZ 17840,,,38.3575616,-122.041658,7.541,NAD27,700,8.93,,11.22,,23,53,185,446,,,,,,,,,,,,,,,,,,,,,,,
MVZ 17841,MVZ 17841,,,38.3575616,-122.041658,7.541,NAD27,700,8.29,,11.64,,17,55,164,359,,,,,,,,,,,,,,,,,,,,,,,
MVZ 17845,MVZ 17845,MVZ 17845,MVZ 17845,39.6079291,-121.670523,0.04345,NAD27,200,9.36,,11.72,,24.5,61,204,465,,41715,16.1765072,AGS,66.6242,26.23,15.83333333,60.5,41715,16.1765072,AGS,73.63667,44.16,1.81,69.22333,41.61,2.2733333,91.48,54.36333,0.22666667,58.30667,34,4.4333333
MVZ 17847,MVZ 17847,MVZ 17847,MVZ 17847,37.8785684,-122.086655,6.252,NAD27,200,8.4,,12.69,,26,56,168,407,,40693,15.8878433,COW,64.516,25.4,14.22222222,57.6,40693,15.8878433,COW,66.98833,50.82,1.7833333,59.98667,45.89667,2.1066667,70.18667,52.14333,0.10333333,54.60667,42.92,4.4733333
MVZ 17848,MVZ 17848,,,37.8816953,-121.913042,1.662,NAD27,1750,9.17,,12,,26,57,167,412,,,,,,,,,,,,,,,,,,,,,,,
MVZ 17849,MVZ 17849,,,37.8816953,-121.913042,1.662,NAD27,1750,9.24,,12.5,,25,59,171,437,,,,,,,,,,,,,,,,,,,,,,,
MVZ 183731,MVZ 183731,MVZ 183731,MVZ 183731,37.8978545,-122.310427,2.56,NAD27,225,10.28,,11.96,,34,60,187,447,,40693,5.1753454,UAG,64.516,25.4,14.22222222,57.6,40693,5.1753454,UAG,70.11667,52.48667,1.7833333,63.81333,47.07333,2.1066667,72.04333,53.24333,0.10333333,57.87667,44.44667,4.4733333
MVZ 183732,MVZ 183732,,,37.8978545,-122.310427,2.56,NAD27,225,9.53,,11.64,,60,26,179,444,,,,,,,,,,,,,,,,,,,,,,,
MVZ 18661,MVZ 18661,MVZ 18661,,39.2570834,-120.712438,0.455,NAD27,4800,8.35,,11.52,,,,,,,44713,40.879366,SMC,187.9092,73.98,8.888888889,48,,,,,,,,,,,,,,,
MVZ 19204,,MVZ 19204,MVZ 19204,37.875069,-122.245186,0.402,NAD27,,7.84,,12.09,,21,57,155,358,-,40693,2.1068455,COW,64.516,25.4,14.22222222,57.6,40693,2.1068455,COW,65.67667,50.90333,1.7833333,61.97,47.14667,2.1066667,68.97667,51.54333,0.10333333,53.06667,41.83667,4.4733333
MVZ 201344,MVZ 201344,,,37.75139,-119.79149,0.33,WGS84,6311,8.05,,11.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 201345,MVZ 201345,,,37.75139,-119.79149,0.33,WGS84,6311,9.17,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 20328,MVZ 20328,,,39.5155,-123.15104,4.645,NAD27,4500,9.09,,11.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 207146,MVZ 207146,MVZ 207146,,37.6248,-120.56688,0.10142,WGS84,230,9.11,,11.92,,,,,,,45532,38.1645713,UAG,31.75,12.5,16.77777778,62.2,,,,,,,,,,,,,,,
MVZ 207147,MVZ 207147,,,37.6248,-120.56688,0.10142,WGS84,230,9.33,,12.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 207148,MVZ 207148,,,37.6248,-120.56688,0.10142,WGS84,230,9.72,,11.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 207149,MVZ 207149,,,37.6248,-120.56688,0.10142,WGS84,230,8.78,,11.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 207152,MVZ 207152,,,37.6248,-120.56688,0.10142,WGS84,230,9.76,,11.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 207153,MVZ 207153,,,37.6248,-120.56688,0.251419,WGS84,230,9.09,,12.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 207154,MVZ 207154,,,37.75606,-120.08596,0.251419,WGS84,2946,8.76,,10.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 207155,MVZ 207155,,,37.75606,-120.08596,0.251419,WGS84,2946,9.43,,11.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 207156,MVZ 207156,,,37.84486,-119.58945,0.1,WGS84,8490,8.23,,11.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 207161,MVZ 207161,,,37.7409,-119.40804,0.15142,WGS84,7234,8.1,,11.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 207162,MVZ 207162,,,37.74069,-119.41023,0.10142,WGS84,7216,9.11,,12.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 207163,MVZ 207163,,,37.74069,-119.41025,0.10142,WGS84,7216,8.57,,11.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 207164,MVZ 207164,,,37.74051,-119.41345,0.10142,WGS84,7216,9.9,,11.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 207166,MVZ 207166,,,37.75456,-119.74298,0.20142,WGS84,6604,8.8,,11.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 207167,MVZ 207167,,,37.75456,-119.74298,0.20142,WGS84,6604,9.91,,11.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 208499,MVZ 208499,,,37.90028,-119.12977,0,WGS84,7265,8.89,,11.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 2154,MVZ 2154,,,33.7633397,-116.664705,1.3716,NAD27,8000,8.44,,11.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVZ 2155,MVZ 2155,,,33.7633397,-116.664705,1.3716,NAD27,8000,8.55,,11.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
