1st_body_mass,1st_total_length,catalognumber,collectioncode,decimallatitude,decimallongitude,dynamicproperties,1st_ear_length,eventdate,fieldnotes,1st_hind_foot_length,institutioncode,1st_life_stage_notation,2nd_life_stage_notation,lifestage,ageValue,ageUnit,locality,occurrenceid,reproductivecondition,scientificname,sex,1st_sex_notation,1st_tail_length,1st_testes_side
43544.87,1374,65217,Mammals,35.50028,-89.20833,"{""totalLengthInmm"":""1374"", ""tailLengthInmm"":""174"", ""hindfootLengthInmm"":""423"", ""earLengthInmm"":""145"", ""weightInlbs"":""96""}",145,10/20/1990,,423,OMNH,,,,,,"Hunt Area 4, Hatchie National Wildlife Refuge",urn:catalog:OMNH:Mammals:65217,,Odocoileus virginianus,female,female,174,
57606.23,1376,62136,Mammals,36.48194,-89.32333,"{""totalLengthInmm"":""1376"", ""tailLengthInmm"":""314"", ""hindfootLengthInmm"":""466"", ""earLengthInmm"":""140"", ""weightInlbs"":""127""}",140,11/14/1987,,466,OMNH,1.5 years,,,1.5 years,,"Long Point, Reelfoot National Wildlife Refuge",urn:catalog:OMNH:Mammals:62136,,Odocoileus virginianus,male,male,314,
38555.35,1380,60059,Mammals,35.50028,-89.20833,"{""totalLengthInmm"":""1380"", ""tailLengthInmm"":""130"", ""hindfootLengthInmm"":""395"", ""earLengthInmm"":""132"", ""weightInlbs"":""85""}",132,10/28/1984,,395,OMNH,2.5 years,,,2.5 years,,"Hunt Area 3, Hatchie National Wildlife Refuge",urn:catalog:OMNH:Mammals:60059,,Odocoileus virginianus,male,male,130,
50348.76,1381,61098,Mammals,35.50028,-89.20833,"{""totalLengthInmm"":""1381"", ""tailLengthInmm"":""203"", ""hindfootLengthInmm"":""433"", ""earLengthInmm"":""143"", ""weightInlbs"":""111""}",143,10/22/1989,,433,OMNH,3.5 years,,,3.5 years,,"Hunt Area 3, Hatchie National Wildlife Refuge",urn:catalog:OMNH:Mammals:61098,,Odocoileus virginianus,female,female,203,
39462.54,1383,65221,Mammals,35.50028,-89.20833,"{""totalLengthInmm"":""1383"", ""tailLengthInmm"":""198"", ""hindfootLengthInmm"":""410"", ""earLengthInmm"":""145"", ""weightInlbs"":""87""}",145,10/26/1991,,410,OMNH,,,,,,"Hunt Area 4, Hatchie National Wildlife Refuge",urn:catalog:OMNH:Mammals:65221,,Odocoileus virginianus,female,female,198,
29483.51,1384,65219,Mammals,35.50028,-89.20833,"{""totalLengthInmm"":""1384"", ""tailLengthInmm"":""225"", ""hindfootLengthInmm"":""432"", ""earLengthInmm"":""149"", ""weightInlbs"":""[65]""}",149,10/27/1991,,432,OMNH,,,,,,"Hunt Area 4, Hatchie National Wildlife Refuge",urn:catalog:OMNH:Mammals:65219,,Odocoileus virginianus,male,male,225,
36288,1384,18198,Mammals,,,"{""totalLengthInMM"":""1384"", ""tailLengthInMM"":""179"", ""hindfootLengthInMM"":""368"", ""earLengthInMM"":""133"", ""weightInGrams"":""36288"" }",133,10/7/1972,,368,TTU,,,,,,LAGRANGE ESTATE,urn:catalog:TTU:Mammals:18198,,Odocoileus virginianus,male,male,179,
48535,1384,18197,Mammals,17.7430592,-64.8266678,"{""totalLengthInMM"":""1384"", ""tailLengthInMM"":""165"", ""hindfootLengthInMM"":""381"", ""earLengthInMM"":""127"", ""weightInGrams"":""48535"" }",127,7/3/1972,,381,TTU,,,,,,HARD LABOR ESTATE,urn:catalog:TTU:Mammals:18197,,Odocoileus virginianus,male,male,165,
32658.65,1390,63662,Mammals,35.50028,-89.20833,"{""totalLengthInmm"":""1390"", ""tailLengthInmm"":""260"", ""hindfootLengthInmm"":""395"", ""earLengthInmm"":""135"", ""weightInlbs"":""72""}",135,10/28/1984,,395,OMNH,1.5 years,,,1.5 years,,"Hunt Area 3, Hatchie National Wildlife Refuge",urn:catalog:OMNH:Mammals:63662,,Odocoileus virginianus,female,female,260,
45812.83,1390,61101,Mammals,35.50028,-89.20833,"{""totalLengthIn"":""1390"", ""tailLengthIn"":""194"", ""hindfootLengthIn"":""431"", ""earLengthIn"":""145"", ""weightInlbs"":""101""}",,10/21/1989,,,OMNH,2.5 years,,,2.5 years,,"Hunt Area 3, Hatchie National Wildlife Refuge",urn:catalog:OMNH:Mammals:61101,,Odocoileus virginianus,female,female,,
37648.17,1392,62041,Mammals,35.50028,-89.20833,"{""totalLengthInmm"":""1392"", ""tailLengthInmm"":""236"", ""hindfootLengthInmm"":""420"", ""earLengthInmm"":""146"", ""weightInlbs"":""83""}",146,10/28/1989,,420,OMNH,1.5 years,,,1.5 years,,"Hunt Area 4, Hatchie National Wildlife Refuge",urn:catalog:OMNH:Mammals:62041,,Odocoileus virginianus,female,female,236,
38555.35,1395,62284,Mammals,35.50028,-89.20833,"{""totalLengthInmm"":""1395"", ""tailLengthInmm"":""209"", ""hindfootLengthInmm"":""400"", ""earLengthInmm"":""141"", ""weightInlbs"":""85""}",141,10/25/1986,,400,OMNH,2.5 years,,,2.5 years,,"Hunt Area 2, Hatchie National Wildlife Refuge",urn:catalog:OMNH:Mammals:62284,,Odocoileus virginianus,female,female,209,
48080.79,1398,61154,Mammals,35.50028,-89.20833,"{""totalLengthIn"":""1398"", ""tailLengthIn"":""224"", ""hindfootLengthIn"":""428"", ""earLengthIn"":""144"", ""weightInlbs"":""106""}",,10/17/1992,,,OMNH,1.5 years,,,1.5 years,,"Hunt Area 3, Hatchie National Wildlife Refuge",urn:catalog:OMNH:Mammals:61154,,Odocoileus virginianus,male,male,,
37194.58,1400,61144,Mammals,35.50028,-89.20833,"{""totalLengthIn"":""1400"", ""tailLengthIn"":""225"", ""hindfootLengthIn"":""430"", ""earLengthIn"":""145"", ""weightInlbs"":""82""}",,10/18/1992,,,OMNH,1.5 years,,,1.5 years,,"Hunt Area 3, Hatchie National Wildlife Refuge",urn:catalog:OMNH:Mammals:61144,,Odocoileus virginianus,female,female,,
41276.91,1400,61118,Mammals,35.50028,-89.20833,"{""totalLengthIn"":""1400"", ""tailLengthIn"":""212"", ""hindfootLengthIn"":""412"", ""earLengthIn"":""135"", ""weightInlbs"":""91""}",,10/20/1990,,,OMNH,2.5 years,,,2.5 years,,"Hunt Area 3, Hatchie National Wildlife Refuge",urn:catalog:OMNH:Mammals:61118,,Odocoileus virginianus,female,female,,
34019.43,1403,61005,Mammals,35.50028,-89.20833,"{""totalLengthInmm"":""1403"", ""tailLengthInmm"":""232"", ""hindfootLengthInmm"":""410"", ""earLengthInmm"":""152"", ""weightInlbs"":""75""}",152,10/19/1991,,410,OMNH,2.5 years,,,2.5 years,,"Hunt Area 2, Hatchie National Wildlife Refuge",urn:catalog:OMNH:Mammals:61005,,Odocoileus virginianus,female,female,232,
35833.8,1403,62291,Mammals,35.50028,-89.20833,"{""totalLengthInmm"":""1403"", ""tailLengthInmm"":""239"", ""hindfootLengthInmm"":""413"", ""earLengthInmm"":""138"", ""weightInlbs"":""79""}",138,10/20/1990,,413,OMNH,1.5 years,,,1.5 years,,"Hunt Area 4, Hatchie National Wildlife Refuge",urn:catalog:OMNH:Mammals:62291,,Odocoileus virginianus,female,female,239,
55338.27,1403,60152,Mammals,35.50028,-89.20833,"{""totalLengthIn"":""1403"", ""tailLengthIn"":""283"", ""hindfootLengthIn"":""466"", ""earLengthIn"":""148"", ""weightInlbs"":""122""}",,10/17/1992,,,OMNH,1.5 years,,,1.5 years,,"Hunt Area 1, Hatchie National Wildlife Refuge",urn:catalog:OMNH:Mammals:60152,,Odocoileus virginianus,male,male,,
39916.13,1407,61189,Mammals,35.50028,-89.20833,"{""totalLengthInmm"":""1407"", ""tailLengthInmm"":""221"", ""hindfootLengthInmm"":""406"", ""earLengthInmm"":""149"", ""weightInlbs"":""88""}",149,10/21/1989,,406,OMNH,1.5 years,,,1.5 years,,"Hunt Area 1, Hatchie National Wildlife Refuge",urn:catalog:OMNH:Mammals:61189,,Odocoileus virginianus,female,female,221,
41276.91,1408,61024,Mammals,35.50028,-89.20833,"{""totalLengthInmm"":""1408"", ""tailLengthInmm"":""220"", ""hindfootLengthInmm"":""423"", ""earLengthInmm"":""133"", ""weightInlbs"":""91""}",133,10/20/1990,,423,OMNH,2.5 years,,,2.5 years,,"Hunt Area 2, Hatchie National Wildlife Refuge",urn:catalog:OMNH:Mammals:61024,,Odocoileus virginianus,female,female,220,
37194.58,1409,65363,Mammals,35.342292,-90.07722,"{""totalLengthInmm"":""1409"", ""tailLengthInmm"":""254"", ""hindfootLengthInmm"":""398"", ""earLengthInmm"":""132"", ""weightInlbs"":""82""}",132,1/18/1991,,398,OMNH,2.5 years,,,2.5 years,,Meeman-Shelby Forest Wildlife Management Area,urn:catalog:OMNH:Mammals:65363,,Odocoileus virginianus,female,female,254,
40369.72,1410,62043,Mammals,35.50028,-89.20833,"{""totalLengthInmm"":""1410"", ""tailLengthInmm"":""231"", ""hindfootLengthInmm"":""390"", ""earLengthInmm"":""146"", ""weightInlbs"":""89""}",146,10/28/1989,,390,OMNH,1.5 years,,,1.5 years,,"Hunt Area 4, Hatchie National Wildlife Refuge",urn:catalog:OMNH:Mammals:62043,,Odocoileus virginianus,male,male,231,
40369.72,1410,61194,Mammals,35.50028,-89.20833,"{""totalLengthInmm"":""1410"", ""tailLengthInmm"":""223"", ""hindfootLengthInmm"":""395"", ""earLengthInmm"":""142"", ""weightInlbs"":""89""}",142,10/20/1990,,395,OMNH,2.5 years,,,2.5 years,,"Hunt Area 2, Hatchie National Wildlife Refuge",urn:catalog:OMNH:Mammals:61194,,Odocoileus virginianus,female,female,223,
42184.09,1410,60182,Mammals,35.50028,-89.20833,"{""totalLengthInmm"":""1410"", ""tailLengthInmm"":""220"", ""hindfootLengthInmm"":""410"", ""earLengthInmm"":""136"", ""weightInlbs"":""93""}",136,10/21/1989,,410,OMNH,1.5 years,,,1.5 years,,"Hunt Area 2, Hatchie National Wildlife Refuge",urn:catalog:OMNH:Mammals:60182,,Odocoileus virginianus,female,female,220,
36740.98,1412,62102,Mammals,36.44222,-89.34611,"{""totalLengthInmm"":""1412"", ""tailLengthInmm"":""248"", ""hindfootLengthInmm"":""428"", ""earLengthInmm"":""138"", ""weightInlbs"":""81""}",138,11/1/1990,,428,OMNH,1.5 years,,,1.5 years,,"Grassy Island, Reelfoot National Wildlife Refuge",urn:catalog:OMNH:Mammals:62102,,Odocoileus virginianus,female,female,248,
44905.65,1415,61165,Mammals,35.50028,-89.20833,"{""totalLengthIn"":""[1415]"", ""tailLengthIn"":""[59]"", ""hindfootLengthIn"":""420"", ""earLengthIn"":""142"", ""weightInlbs"":""99""}",,10/15/1988,,,OMNH,2.5 years,,,2.5 years,,"Hunt Area 3, Hatchie National Wildlife Refuge",urn:catalog:OMNH:Mammals:61165,,Odocoileus virginianus,female,female,,
42637.69,1416,61052,Mammals,35.50028,-89.20833,"{""totalLengthInmm"":""1416"", ""tailLengthInmm"":""187"", ""hindfootLengthInmm"":""408"", ""earLengthInmm"":""152"", ""weightInlbs"":""94""}",152,10/27/1990,,408,OMNH,2.5 years,,,2.5 years,,"Hunt Area 3, Hatchie National Wildlife Refuge",urn:catalog:OMNH:Mammals:61052,,Odocoileus virginianus,female,female,187,
