,catalogNumber,institutionCode,otherCatalogNumbers,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,pointElevationInMeters,materialSampleID,measurementUnit,measurementType,measurementValue,diagnosticID
82, 17831,MVZ,MVZ 17831MVZ 17831MVZ 17831,40.0451166,-122.095649,3.2489999999999997,79.248,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,5919795d-9062-4d1b-83bd-ae5b09752083
83, 17832,MVZ,MVZ 17832,40.0451166,-122.095649,3.2489999999999997,79.248,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,85693adf-3983-43fe-aad0-2f6f48a9adf6
84, 17833,MVZ,MVZ 17833,40.0451166,-122.095649,3.2489999999999997,79.248,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,4d6dfe08-d35e-48c8-a509-6da24b16afbd
85, 17834,MVZ,MVZ 17834,40.0451166,-122.095649,3.2489999999999997,79.248,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,,435cc2a9-066e-4d31-9f60-cfb169251d73
86, 17835,MVZ,MVZ 17835MVZ 17835MVZ 17835,39.58918,-122.54393999999999,7.01996,213.36,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,22,ec44af74-9b59-44a5-87e1-e55575c25ded
87, 17836,MVZ,MVZ 17836,39.58918,-122.54393999999999,7.01996,213.36,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,21,db18e8a3-005d-4409-9f5b-b5f7e52a3e0f
88, 17838,MVZ,MVZ 17838,39.58918,-122.54393999999999,7.01996,213.36,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,22,eef13e58-09f0-49fd-a8f2-51b05e74c67b
89, 17839,MVZ,MVZ 17839,38.8863534,-122.24026200000002,0.624,152.4,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,25,ec0efb41-cc01-4c49-b3af-8e168ebee5eb
90, 17840,MVZ,MVZ 17840,38.357561600000004,-122.04165800000001,7.541,213.36,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,23,54f6f3b4-01d1-485e-b19c-a2e9b5fdb252
91, 17841,MVZ,MVZ 17841,38.357561600000004,-122.04165800000001,7.541,213.36,79798931-0f46-41a8-8909-24b382aadcf8,mm,ear length,17,31f604a1-c7b2-4737-a683-74e61b0b0719
