,institutionCode,collectionCode,catalogNumber,measurementSide,measurementType,scientificName,decimalLatitude,decimalLongitude,locality,verbatimLocality,basisOfRecord,measurementValue,measurementUnit,lithostratigraphicTerms,formation,member,references,materialSampleID,diagnosticID
705,KU,,44079,right,P3 anteroposterior length,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,24.75,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,33ffc7e3-49c2-47ab-b1fc-05956f3983a2
706,KU,,44079,right,P3 transverse width,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,23.56,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,452d40e0-80ae-4ea5-ae0a-e98ad9295d85
707,KU,,27214,right,P3 anteroposterior length,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,24.80,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,b020df8d-4ed3-400f-be60-aab8d09a08bf
708,KU,,27214,right,P3 transverse width,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,24.37,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,2e3a5092-1a55-48b4-a4ae-96761f1c3808
709,KU,,43665,left,P3 anteroposterior length,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,24.68,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,03e38a02-013f-4c7d-9804-b017da6916ef
710,KU,,43665,left,P3 transverse width,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,24.60,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,57442452-2073-4e24-b22e-1669584da3fa
711,KU,,44132,right,P3 anteroposterior length,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,24.52,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,50dfbe6b-714a-426a-9bad-08e6077bcef6
712,KU,,44132,right,P3 transverse width,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,24.85,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,30028f40-4946-4b97-9da6-7deeccc7f6aa
713,KU,,39493,right,P3 anteroposterior length,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,26.53,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,b7b14725-bd84-4597-a061-2075b30cd91f
714,KU,,39493,right,P3 transverse width,,-na,-na,Natural Trap Cave,"Wyoming, USA",FossilSpecimen,25.47,mm,Late Pleistocene,,,"Barron-Ortiz C. I., Rodrigues A. T., Theodor J. M., Kooyman B. P., Yang D. Y., and Speller C. F. 2017. Cheek tooth morphology and ancient mitochondrial DNA of late Pleistocene horses from the western interior of North America: Implications for the taxonomy of North American Late Pleistocene Equus. PloS one, 12(8): e0183045.",1d58049b-d7a7-42ed-83f8-085d64cda6dd,87a63494-095c-4740-a5dd-211577da9c10
