"materialSampleID","sitename","verbatimEventDate","sex","measurementSide","verbatimLocality","scientificName","measurementValue","minimumChronometricAge","maximumChronometricAge","measurementType","individualID","measurementUnit","observationID"
"PIUW1344/17","","","unknown","left","new","Cremohipparion mediterraneum",NA,"8.0",NA,"{length line trochlea of humerus to caput of humerus}","PIUW1344/17","mm","5347c680-e46d-451d-b162-f26995daaf0f"
"PIUW1344/18","","","unknown","right","new","Cremohipparion mediterraneum",NA,"8.0",NA,"{length line trochlea of humerus to caput of humerus}","PIUW1344/18","mm","4f6fb166-d745-46c0-832a-3bdf1a8f77b7"
"PIUW1344/19","","","unknown","right","new","Cremohipparion mediterraneum",NA,"8.0",NA,"{length line trochlea of humerus to caput of humerus}","PIUW1344/19","mm","08a45fd1-3f60-4088-ac5e-ed0f32a0c375"
"PIUW1344/2","","","unknown","left","new","Cremohipparion mediterraneum",NA,"8.0",NA,"{length line trochlea of humerus to caput of humerus}","PIUW1344/2","mm","ec450e58-0fe1-4e76-b144-d14fa571ff55"
"PIUW1344/20","","","unknown","right","new","Cremohipparion mediterraneum",NA,"8.0",NA,"{length line trochlea of humerus to caput of humerus}","PIUW1344/20","mm","bc8f747a-297d-4aee-80b4-5defac0fc0b7"
"PIUW1344/21","","","unknown","right","new","Cremohipparion mediterraneum",NA,"8.0",NA,"{length line trochlea of humerus to caput of humerus}","PIUW1344/21","mm","18ccdefb-8b3d-47cb-86f7-6b6a5fda01ab"
"PIUW1344/3","","","unknown","left","new","""Hipparion""  sp.",NA,"8.0",NA,"{length line trochlea of humerus to caput of humerus}","PIUW1344/3","mm","e17827c3-e86e-4e4e-8e0d-eb0f95cb4504"
"PIUW1344/4","","","unknown","left","new","""Hipparion""  sp.",NA,"8.0",NA,"{length line trochlea of humerus to caput of humerus}","PIUW1344/4","mm","3540c3ee-b6f1-4bb6-a684-707f697f2d39"
"PIUW1344/5","","","unknown","right","new","Hippotherium  brachypus",NA,"8.0",NA,"{length line trochlea of humerus to caput of humerus}","PIUW1344/5","mm","3f6b71bd-636c-4da2-88ae-daf10ad61cfc"
"PIUW1344/6","","","unknown","right","new","Hippotherium  brachypus",NA,"8.0",NA,"{length line trochlea of humerus to caput of humerus}","PIUW1344/6","mm","54f811b5-a5dd-4498-bc5b-e742eca2e1f1"
"PIUW1344/7","","","unknown","left","new","Hippotherium  brachypus",NA,"8.0",NA,"{length line trochlea of humerus to caput of humerus}","PIUW1344/7","mm","6c95812f-2335-46cc-85b6-4b5e448c8c8f"
"PIUW1344/8","","","unknown","right","new","Hippotherium  brachypus",NA,"8.0",NA,"{length line trochlea of humerus to caput of humerus}","PIUW1344/8","mm","06a41928-1f02-4691-8e56-306285a63bcc"
"PIUW1344/9","","","unknown","right","new","Hippotherium  brachypus",NA,"8.0",NA,"{length line trochlea of humerus to caput of humerus}","PIUW1344/9","mm","a088ba6e-ff18-4808-a00b-5083580bc1d7"
"MAFIV","","","unknown","norecord","new","Hippotherium  intrans",0,"10.0",NA,"{length line of medial condyle of femur to greater trochanter}","MAFIV","mm","f2ce7007-a155-4021-a308-a8c8e218fa82"
"MAFIV","","","unknown","norecord","new","Hippotherium  intrans",0,"10.0",NA,"{length line of medial condyle of femur to greater trochanter}","MAFIV","mm","614e9888-57be-4693-a71c-3f19a6fd5c95"
"MAFIV","","","unknown","norecord","new","Hippotherium  intrans",0,"10.0",NA,"{length line of medial condyle of femur to greater trochanter}","MAFIV","mm","53a573e6-82d7-43b5-8036-a0fdcf0cc36f"
"MAFIV","","","unknown","norecord","new","Hippotherium  intrans",0,"10.0",NA,"{length line of medial condyle of femur to greater trochanter}","MAFIV","mm","cbc4057a-aacf-43ad-9191-c7d8e694c3f0"
"MAFIV11853","","","unknown","norecord","new","Hippotherium  intrans",0,"10.0",NA,"{length line trochlea of humerus to caput of humerus}","MAFIV11853","mm","a41d2914-d205-4f1f-892e-6d72a64b28ee"
"MAFIV11871","","","unknown","norecord","new","Hippotherium  intrans",0,"10.0",NA,"{length line trochlea of humerus to caput of humerus}","MAFIV11871","mm","ff130650-d045-48aa-a60a-06e28bb74249"
"MAFIV11256A","","","unknown","left","new","Hippotherium  csakvarense",NA,"9.0",NA,"{length line trochlea of humerus to caput of humerus}","MAFIV11256A","mm","f617c84e-4cdc-43c9-9d08-72c9e4672300"
"MAFIV11256B","","","unknown","right","new","Hippotherium  csakvarense",NA,"9.0",NA,"{length line trochlea of humerus to caput of humerus}","MAFIV11256B","mm","485458b3-8a99-454c-b8f5-f22ea33c4dc6"
"MAFIV11256C","","","unknown","left","new","Hippotherium  csakvarense",NA,"9.0",NA,"{length line trochlea of humerus to caput of humerus}","MAFIV11256C","mm","feb03b1f-1376-468f-9774-469f17232094"
"MAFIV11256D","","","unknown","left","new","Hippotherium  csakvarense",NA,"9.0",NA,"{length line trochlea of humerus to caput of humerus}","MAFIV11256D","mm","3f497e83-c742-4840-a83a-721985e816e7"
"MAFIBalt153","","","unknown","left","new","Hippotherium  microdon",NA,"7.0",NA,"{length line of medial condyle of femur to greater trochanter}","MAFIBalt153","mm","0950452f-ef8f-4dfd-8592-839661a869d3"
"MAFIBalt219","","","unknown","right","new","Hippotherium  microdon",NA,"7.0",NA,"{length line of medial condyle of femur to greater trochanter}","MAFIBalt219","mm","02d80346-e81b-4faf-bf62-d738b346544e"
"MAFIBalt396","","","unknown","left","new","Hippotherium  microdon",NA,"7.0",NA,"{length line of medial condyle of femur to greater trochanter}","MAFIBalt396","mm","5e4e2bbb-794f-4760-8407-aa89a360d274"
"MAFIBalt742L","","","unknown","right","new","Hippotherium  microdon",NA,"7.0",NA,"{length line trochlea of humerus to caput of humerus}","MAFIBalt742L","mm","fc0bf922-b07e-441c-ba65-18d2fbc1be6e"
"MAFIOB3211","","","unknown","right","new","Hippotherium  microdon",NA,"7.0",NA,"{length line of medial condyle of femur to greater trochanter}","MAFIOB3211","mm","07b14b82-6087-4fc1-b3d8-2bc9bf65227f"
"NHBJH153","","","unknown","left","new","Hippotherium  malpassii",NA,"6.7",NA,"{length line trochlea of humerus to caput of humerus}","NHBJH153","mm","eb6298f3-35a4-42cf-a69c-150257bda51b"
"KNM-LT25478A","","","unknown","left","new","Sivalhippus turkanensis",398,"6.5",NA,"{length line of medial condyle of femur to greater trochanter}","KNM-LT25478A","mm","64361ba7-6724-410e-92b7-bd266dafb820"
"KNM-LT8736","","","unknown","right","new","Sivalhippus turkanensis",NA,"7.0",NA,"{length line of medial condyle of femur to greater trochanter}","KNM-LT8736","mm","cdbdee15-37ba-47cb-b53d-0158a68dde04"
"RMNH067/1644","","","unknown","norecord","new","Equid ",NA,"?",NA,"{length line trochlea of humerus to caput of humerus}","RMNH067/1644","mm","f665bb61-c3a5-4d1d-84d6-c738416437e3"
"RMNH067/843","","","unknown","norecord","new","Equid ",374,"?",NA,"{length line of medial condyle of femur to greater trochanter}","RMNH067/843","mm","03cc77fd-4f6c-40c5-8000-670304c437fd"
"RMNH1","","","unknown","norecord","new","Equid ",NA,"?",NA,"{length line of medial condyle of femur to greater trochanter}","RMNH1","mm","56bc5616-9abc-4f7c-ab50-d34f4b878753"
"RMNH1182","","","unknown","norecord","new","Eurygnathohippus sp.",NA,"?",NA,"{length line trochlea of humerus to caput of humerus}","RMNH1182","mm","156f8c2e-eb80-49a6-97be-33f294f8aa13"
"RMNH1352","","","unknown","norecord","new","Eurygnathohippus sp.",360,"?",NA,"{length line of medial condyle of femur to greater trochanter}","RMNH1352","mm","b3af8413-21a8-43e6-b9d0-37285c80ef2f"
"RMNH1384","","","unknown","norecord","new","Equid ",NA,"?",NA,"{length line of medial condyle of femur to greater trochanter}","RMNH1384","mm","0a34f906-5c02-4b96-8f4a-eee4b3894825"
"RMNH1386","","","unknown","norecord","new","Equid ",NA,"?",NA,"{length line of medial condyle of femur to greater trochanter}","RMNH1386","mm","3db40b01-77c8-44cb-b7e5-07f8c3f5dd19"
"RMNH187","","","unknown","norecord","new","Equid ",NA,"?",NA,"{length line trochlea of humerus to caput of humerus}","RMNH187","mm","4b4cb815-4177-448d-8907-ff85f86f626b"
"RMNH264","","","unknown","norecord","new","Equid ",NA,"?",NA,"{length line of medial condyle of femur to greater trochanter}","RMNH264","mm","ec4ddc21-3138-455e-9ca8-d0455efe06cd"
"RMNH268","","","unknown","norecord","new","Equid ",NA,"?",NA,"{length line trochlea of humerus to caput of humerus}","RMNH268","mm","73ac2509-58cc-4399-a6f5-17bfb253282d"
"RMNH2685","","","unknown","norecord","new","Equid ",NA,"?",NA,"{length line trochlea of humerus to caput of humerus}","RMNH2685","mm","760b9a59-6b71-4980-b7b7-bc9768108471"
"RMNH280","","","unknown","norecord","new","Equid ",229.92,"?",NA,"{length line trochlea of humerus to caput of humerus}","RMNH280","mm","dd3a1085-7d0d-4909-9b2b-57b7f21f922a"
"RMNH284","","","unknown","norecord","new","Equid ",NA,"?",NA,"{length line trochlea of humerus to caput of humerus}","RMNH284","mm","ad143d93-19cb-4411-8b6d-669ba89a4967"
"RMNH305","","","unknown","norecord","new","Equid ",NA,"?",NA,"{length line trochlea of humerus to caput of humerus}","RMNH305","mm","30fd9ee8-67d6-4cca-9e29-3b9b267a2464"
"RMNHNo number","","","unknown","norecord","new","Equid ",NA,"?",NA,"{length line of medial condyle of femur to greater trochanter}","RMNHNo number","mm","20923bd8-ddc9-49a0-9c2e-89ca0640023e"
"SAMPQL13202","E Quarry","","unknown","right","new","Eurygnathohippus hooijeri",NA,"5.00",NA,"{length line of medial condyle of femur to greater trochanter}","SAMPQL13202","mm","2e7cf1dd-f89d-4e01-b644-0d4709b4cec8"
"SAMPQL13870","E Quarry","","unknown","right","new","Eurygnathohippus hooijeri",NA,"5.00",NA,"{length line of medial condyle of femur to greater trochanter}","SAMPQL13870","mm","10c31973-0ef2-4247-963c-389d7f2cfc74"
"SAMPQL20178","E Quarry","","unknown","right","new","Eurygnathohippus hooijeri",NA,"5.00",NA,"{length line of medial condyle of femur to greater trochanter}","SAMPQL20178","mm","70271fd1-1ae1-4bf4-8fcc-1abb97889229"
